seller_id,product_name,product_id,buyer_id,product_rating,product_price
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,288,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,391,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,95,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,226,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,442,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,120,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,130,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,376,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,358,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,203,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,108,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,358,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,92,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,311,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,50,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,127,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,64,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,207,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,119,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,245,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,250,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,316,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,3,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,1091,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,456,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,495,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,11,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,392,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,248,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,153,5.0,17900
1809,Sikat WC Toilet bulat + wadah tempat maspion BT-020,11149,97,5.0,17900
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,441,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,361,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,332,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,34,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,140,No Rating,46000
655,Piring Saji Kaca Bening Besar 11 Inch / Mangkok Saji Kaca Bening Besar,10666,305,No Rating,46000
